partial_word,length,partial_prefix,partial_suffix
ence,2,10288,10257
ong,2,10288,10267
ful,2,10288,10247
ation,2,10272,10269
tion,2,10288,10269
ness,2,10288,10254
ment,2,10288,10270
ity,2,10288,10301
ally,2,10272,10301
ound,2,10280,10265
ance,2,10280,10257
sion,2,10280,10269
less,2,10280,10254
ount,2,10280,10270
ch,1,10273,
gh,1,10275,
sh,1,10281,
th,1,10297,
wh,1,10289,
ou,1,10291,
bb,1,10246,
cc,1,10258,
con,1,10258,
dd,1,10290,
dis,1,10290,
en,1,10274,
ff,1,10262,
gg,1,10294,
st,1,10252,
ar,1,10268,
